Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,F1 Macro,macro avg precision,macro avg recall,macro avg f1,macro avg support,weighted avg precision,weighted avg recall,weighted avg f1,weighted avg support,angry_f1,angry_precision,angry_recall,angry_support,calm_f1,calm_precision,calm_recall,calm_support,disgust_f1,disgust_precision,disgust_recall,disgust_support,fear_f1,fear_precision,fear_recall,fear_support,happy_f1,happy_precision,happy_recall,happy_support,neutral_f1,neutral_precision,neutral_recall,neutral_support,sad_f1,sad_precision,sad_recall,sad_support,surprise_f1,surprise_precision,surprise_recall,surprise_support
34,82.65,61.21,0.3998,1.4807,0.6082,0.6121,0.6146,0.5997,0.6558,0.6146,17031.0,0.6173,0.6121,0.6082,17031.0,0.7261,0.6844,0.7733,2695,0.5622,0.4289,0.8158,266,0.532,0.5796,0.4917,2695,0.5385,0.5962,0.4909,2695,0.5737,0.6439,0.5173,2695,0.6504,0.6889,0.616,2380,0.5935,0.5271,0.679,2695,0.7406,0.6488,0.8626,910
35,83.12,61.38,0.3883,1.5279,0.609,0.6138,0.6161,0.6029,0.6502,0.6161,17031.0,0.6148,0.6138,0.609,17031.0,0.709,0.6312,0.8085,2695,0.5462,0.4207,0.7782,266,0.5395,0.6244,0.475,2695,0.5269,0.5871,0.4779,2695,0.5864,0.5754,0.5978,2695,0.6527,0.6629,0.6429,2380,0.5955,0.5947,0.5963,2695,0.773,0.727,0.8253,910
36,83.57,60.99,0.3796,1.5275,0.6054,0.6099,0.6099,0.5964,0.647,0.6099,17031.0,0.612,0.6099,0.6054,17031.0,0.7183,0.6748,0.7677,2695,0.5145,0.3871,0.7669,266,0.5378,0.5995,0.4876,2695,0.519,0.6178,0.4475,2695,0.5694,0.5942,0.5466,2695,0.6482,0.6077,0.6945,2380,0.5958,0.5601,0.6364,2695,0.7761,0.7299,0.8286,910
37,84.17,60.96,0.3634,1.6073,0.6061,0.6096,0.6088,0.5892,0.6554,0.6088,17031.0,0.6113,0.6096,0.6061,17031.0,0.7245,0.6773,0.7788,2695,0.532,0.3922,0.8271,266,0.5428,0.5656,0.5217,2695,0.5304,0.5764,0.4913,2695,0.5784,0.5672,0.59,2695,0.6507,0.6553,0.6462,2380,0.5804,0.6449,0.5276,2695,0.7308,0.635,0.8604,910
38,84.5,61.65,0.3557,1.5571,0.6134,0.6165,0.6219,0.6061,0.662,0.6219,17031.0,0.6177,0.6165,0.6134,17031.0,0.7249,0.6964,0.7558,2695,0.5531,0.4075,0.8609,266,0.54,0.5866,0.5002,2695,0.5262,0.6,0.4686,2695,0.5914,0.5959,0.587,2695,0.6522,0.6293,0.6769,2380,0.5963,0.5712,0.6237,2695,0.7913,0.762,0.8231,910
39,84.92,61.26,0.3495,1.6508,0.61,0.6126,0.6183,0.6043,0.6473,0.6183,17031.0,0.6147,0.6126,0.61,17031.0,0.722,0.6831,0.7655,2695,0.5763,0.4644,0.7594,266,0.5358,0.626,0.4683,2695,0.555,0.547,0.5633,2695,0.5703,0.5415,0.6022,2695,0.6517,0.6785,0.6269,2380,0.5864,0.6116,0.5633,2695,0.7486,0.682,0.8297,910
40,85.1,61.42,0.3414,1.6723,0.6098,0.6142,0.6173,0.6052,0.6477,0.6173,17031.0,0.6149,0.6142,0.6098,17031.0,0.7225,0.6746,0.7777,2695,0.5459,0.4262,0.7594,266,0.5441,0.5809,0.5117,2695,0.531,0.5851,0.4861,2695,0.5724,0.635,0.521,2695,0.6567,0.5851,0.7483,2380,0.587,0.5946,0.5796,2695,0.7786,0.7602,0.7978,910
41,85.63,61.81,0.3336,1.7493,0.614,0.6181,0.6222,0.6119,0.6523,0.6222,17031.0,0.6212,0.6181,0.614,17031.0,0.731,0.6992,0.7659,2695,0.5514,0.4304,0.7669,266,0.5427,0.5558,0.5302,2695,0.5209,0.6388,0.4397,2695,0.5933,0.6295,0.561,2695,0.6535,0.5828,0.7437,2380,0.5936,0.583,0.6045,2695,0.7909,0.7759,0.8066,910
42,85.82,61.58,0.322,1.7648,0.6136,0.6158,0.6225,0.6075,0.6471,0.6225,17031.0,0.6149,0.6158,0.6136,17031.0,0.7227,0.6833,0.767,2695,0.5744,0.4754,0.7256,266,0.5417,0.5573,0.5269,2695,0.5483,0.5602,0.5369,2695,0.5882,0.6128,0.5655,2695,0.6455,0.6847,0.6105,2380,0.5908,0.5834,0.5985,2695,0.7681,0.7032,0.8462,910
43,86.21,61.02,0.3168,1.7491,0.6078,0.6102,0.6173,0.6057,0.6504,0.6173,17031.0,0.6138,0.6102,0.6078,17031.0,0.7196,0.6788,0.7655,2695,0.5616,0.4242,0.8308,266,0.5348,0.6286,0.4653,2695,0.5355,0.5625,0.5109,2695,0.5787,0.5469,0.6145,2695,0.6405,0.6731,0.6109,2380,0.5882,0.5681,0.6096,2695,0.7793,0.7637,0.7956,910
44,86.69,60.94,0.3076,1.7448,0.6081,0.6094,0.6137,0.5966,0.6641,0.6137,17031.0,0.6167,0.6094,0.6081,17031.0,0.7257,0.757,0.6968,2695,0.5459,0.3885,0.9173,266,0.5277,0.5274,0.528,2695,0.5279,0.6191,0.4601,2695,0.584,0.6093,0.5607,2695,0.6525,0.6389,0.6668,2380,0.5935,0.5522,0.6416,2695,0.7525,0.6803,0.8418,910
45,86.89,60.99,0.2994,1.7179,0.6087,0.6099,0.6164,0.6043,0.651,0.6164,17031.0,0.6145,0.6099,0.6087,17031.0,0.7307,0.7304,0.731,2695,0.5399,0.4007,0.8271,266,0.5401,0.5572,0.5239,2695,0.5471,0.5454,0.5488,2695,0.5638,0.6351,0.5069,2695,0.6455,0.5832,0.7227,2380,0.5754,0.5946,0.5573,2695,0.7888,0.7875,0.7901,910
46,87.34,61.78,0.293,1.8346,0.6157,0.6178,0.6285,0.6182,0.6501,0.6285,17031.0,0.6181,0.6178,0.6157,17031.0,0.7254,0.6738,0.7855,2695,0.5945,0.4824,0.7744,266,0.5412,0.6057,0.4891,2695,0.5411,0.5335,0.5488,2695,0.5856,0.5824,0.5889,2695,0.6505,0.6707,0.6315,2380,0.5964,0.6027,0.5904,2695,0.7932,0.7941,0.7923,910
47,87.66,60.8,0.2832,1.9046,0.6055,0.608,0.6172,0.608,0.6372,0.6172,17031.0,0.6098,0.608,0.6055,17031.0,0.7199,0.6759,0.7699,2695,0.5714,0.4762,0.7143,266,0.5232,0.6226,0.4512,2695,0.5314,0.511,0.5536,2695,0.5761,0.5726,0.5796,2695,0.6473,0.6735,0.6231,2380,0.5823,0.5731,0.5918,2695,0.7858,0.7592,0.8143,910
48,87.86,60.65,0.2748,1.9237,0.6017,0.6065,0.6144,0.6118,0.6426,0.6144,17031.0,0.6152,0.6065,0.6017,17031.0,0.6992,0.6051,0.8278,2695,0.587,0.4596,0.812,266,0.5274,0.5673,0.4928,2695,0.5376,0.5857,0.4968,2695,0.5591,0.7028,0.4642,2695,0.6564,0.6652,0.6479,2380,0.5826,0.5317,0.6442,2695,0.7659,0.7771,0.7549,910
49,88.08,60.83,0.2715,1.9338,0.6064,0.6083,0.6174,0.6033,0.6431,0.6174,17031.0,0.6089,0.6083,0.6064,17031.0,0.7309,0.7218,0.7403,2695,0.5838,0.4742,0.7594,266,0.5286,0.606,0.4686,2695,0.5289,0.5218,0.5362,2695,0.5806,0.5906,0.5711,2695,0.6458,0.634,0.658,2380,0.577,0.5583,0.597,2695,0.7639,0.7194,0.8143,910
50,88.46,61.01,0.264,1.9362,0.6091,0.6101,0.6181,0.6034,0.646,0.6181,17031.0,0.6119,0.6101,0.6091,17031.0,0.7242,0.7068,0.7425,2695,0.5651,0.4474,0.7669,266,0.5404,0.5689,0.5147,2695,0.5423,0.5363,0.5484,2695,0.5723,0.5805,0.5644,2695,0.6413,0.6971,0.5937,2380,0.5873,0.5714,0.6041,2695,0.7719,0.7192,0.833,910
51,88.97,60.3,0.2521,2.0,0.6058,0.603,0.6167,0.6129,0.6342,0.6167,17031.0,0.6147,0.603,0.6058,17031.0,0.7202,0.7571,0.6868,2695,0.5582,0.4452,0.7481,266,0.5471,0.4952,0.6111,2695,0.529,0.5134,0.5455,2695,0.5826,0.5883,0.577,2695,0.6393,0.7148,0.5782,2380,0.5609,0.5836,0.5399,2695,0.796,0.8054,0.7868,910
52,89.16,60.2,0.2458,2.1516,0.5988,0.602,0.6072,0.593,0.6482,0.6072,17031.0,0.606,0.602,0.5988,17031.0,0.7165,0.6772,0.7607,2695,0.5428,0.3996,0.8459,266,0.5295,0.5842,0.4842,2695,0.5102,0.5783,0.4564,2695,0.5743,0.5168,0.6464,2695,0.6488,0.6792,0.621,2380,0.5678,0.5917,0.5458,2695,0.7675,0.7173,0.8253,910
