Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,macro avg_f1,weighted avg_f1,happy_f1,neutral_f1,sad_f1,surprise_f1,fear_f1,disgust_f1,calm_f1,angry_f1,happy_precision,neutral_precision,sad_precision,surprise_precision,fear_precision,disgust_precision,calm_precision,angry_precision,happy_recall,neutral_recall,sad_recall,surprise_recall,fear_recall,disgust_recall,calm_recall,angry_recall,happy_support,neutral_support,sad_support,surprise_support,fear_support,disgust_support,calm_support,angry_support
41,63.17,55.43,1.601,1.6748,0.5483,55.43,0.5422,0.5483,0.5104,0.5887,0.5701,0.6808,0.4352,0.4499,0.3915,0.7111,0.5314,0.5421,0.5662,0.6012,0.5457,0.5623,0.245,0.6595,0.4909,0.6441,0.574,0.7846,0.3619,0.3749,0.9737,0.7714,1155,1020,1155,390,1155,1155,114,1155
42,63.63,55.76,1.599,1.6742,0.5502,55.76,0.5449,0.5502,0.5207,0.5866,0.576,0.6943,0.4529,0.4237,0.3923,0.7129,0.5236,0.5667,0.5214,0.631,0.5546,0.6426,0.2451,0.6639,0.5177,0.6078,0.6433,0.7718,0.3827,0.316,0.9825,0.7697,1155,1020,1155,390,1155,1155,114,1155
43,63.89,55.95,1.5962,1.6722,0.5553,55.95,0.5503,0.5553,0.5112,0.5914,0.57,0.6961,0.4664,0.4505,0.4022,0.7144,0.6005,0.5372,0.5602,0.6356,0.4868,0.5851,0.2534,0.6738,0.445,0.6578,0.5801,0.7692,0.4476,0.3662,0.9737,0.7602,1155,1020,1155,390,1155,1155,114,1155
44,63.92,55.5,1.5954,1.6738,0.5483,55.5,0.5419,0.5483,0.5214,0.5928,0.5732,0.6733,0.4531,0.4259,0.3942,0.7016,0.5432,0.5375,0.5472,0.5911,0.5097,0.6642,0.2483,0.6661,0.5013,0.6608,0.6017,0.7821,0.4078,0.3134,0.9561,0.7411,1155,1020,1155,390,1155,1155,114,1155
45,64.2,55.88,1.594,1.6718,0.5527,55.88,0.5473,0.5527,0.5181,0.5895,0.574,0.6924,0.4573,0.4365,0.3971,0.7136,0.5757,0.5166,0.537,0.6212,0.5354,0.6171,0.2494,0.6881,0.471,0.6863,0.6165,0.7821,0.3991,0.3377,0.9737,0.7411,1155,1020,1155,390,1155,1155,114,1155
46,64.31,55.67,1.5919,1.6726,0.5493,55.67,0.544,0.5493,0.5044,0.5893,0.5695,0.6896,0.4623,0.4349,0.3944,0.708,0.5851,0.5215,0.5298,0.6232,0.5412,0.6285,0.2467,0.6573,0.4433,0.6775,0.6156,0.7718,0.4035,0.3325,0.9825,0.7671,1155,1020,1155,390,1155,1155,114,1155
47,64.7,56.13,1.5895,1.67,0.5577,56.13,0.5496,0.5577,0.5124,0.5961,0.5816,0.6696,0.4686,0.454,0.3986,0.716,0.568,0.5599,0.5437,0.5811,0.5356,0.5635,0.2506,0.6994,0.4667,0.6373,0.6251,0.7897,0.4165,0.3801,0.9737,0.7333,1155,1020,1155,390,1155,1155,114,1155
48,64.89,55.83,1.5885,1.6711,0.5542,55.83,0.5488,0.5542,0.5171,0.5849,0.576,0.6995,0.4607,0.4438,0.395,0.7131,0.5451,0.5469,0.5327,0.6328,0.5167,0.615,0.2478,0.6955,0.4918,0.6284,0.6268,0.7821,0.4156,0.3472,0.9737,0.7316,1155,1020,1155,390,1155,1155,114,1155
49,65.17,55.67,1.5861,1.6729,0.547,55.67,0.5435,0.547,0.5018,0.5953,0.572,0.6864,0.4631,0.4336,0.4075,0.6884,0.6086,0.5101,0.5602,0.6163,0.5418,0.6293,0.2596,0.6128,0.4268,0.7147,0.5844,0.7744,0.4043,0.3307,0.9474,0.7853,1155,1020,1155,390,1155,1155,114,1155
50,65.23,56.31,1.5852,1.6687,0.5592,56.31,0.5517,0.5592,0.5313,0.5888,0.5794,0.6777,0.4696,0.449,0.4014,0.7162,0.5419,0.5642,0.5331,0.595,0.5667,0.5802,0.2528,0.7031,0.5212,0.6157,0.6346,0.7872,0.4009,0.3662,0.9737,0.7299,1155,1020,1155,390,1155,1155,114,1155
